record_id,branch_code,entity_name,circle_zone,branch_tier,fiscal_year,period_type,merger_cutoff_date,gross_npa_pct,net_npa_pct,cost_to_income_pct,roa_pct,casa_ratio_pct,car_crar_pct,advances_inr_cr,deposits_inr_cr
75,BR-3573,State Bank of Hyderabad,Thiruvananthapuram,Semi-Urban,2014,Pre-Merger,2017-04-01,5.49,2.88,57.84,-0.42,41.4,10.41,866.93,1166.39
76,BR-9041,State Bank of India (Consolidated),Lucknow,Semi-Urban,2019,Post-Merger,2017-04-01,6.95,1.93,53.36,1.33,41.99,14.71,1378.46,1758.41
77,BR-4629,State Bank of India (Consolidated),Kolkata,Urban,2021,Post-Merger,2017-01-04,6.61,1.9,46.75,0.83,44.72,15.09,1104.58,1472.54
78,BR-7766,State Bank of India (Consolidated),Delhi NCR,Semi-Urban,2021,Post-Merger,2017-04-01,5.66,2.48,43.94,1.03,43.49,14.25,784.84,1043.09
79,BR-8617,State Bank of India (Consolidated),Bengaluru,Urban,2018,Post-Merger,2017-04-01,3.49,1.16,42.15,1.05,51.1,13.14,190.43,219.13
80,BR-8009,State Bank of India (Parent),Hyderabad,Semi-Urban,2017,Pre-Merger,2017-04-01,9.56,4.94,54.17,0.72,41.71,10.73,1319.58,1807.39
81,BR-6604,State Bank of India (Consolidated),Mumbai Metro,Metro,2019,Post-Merger,2017-01-04,5.98,2.57,47.24,1.25,49.1,14.27,142.71,189.3
82,BR-8124,State Bank of India (Consolidated),Thiruvananthapuram,Semi-Urban,2019,Post-Merger,2017-04-01,5.17,2.24,48.9,0.71,49.45,14.0,1279.26,1593.61
83,BR-8693,State Bank of India (Consolidated),Chennai,Semi-Urban,2020,Post-Merger,2017-04-01,7.61,2.64,39.55,0.81,49.05,11.6,892.85,1242.13
84,BR-1920,State Bank of India (Consolidated),Ahmedabad,Metro,2018,Post-Merger,2017-04-01,3.46,1.3,48.21,1.09,45.79,15.38,1413.48,1964.22
85,BR-3032,State Bank of India (Consolidated),Mumbai Metro,Metro,2018,Post-Merger,2017-04-01,5.85,2.14,45.09,0.54,40.18,13.78,821.98,1125.85
86,BR-2165,State Bank of India (Consolidated),Lucknow,Rural,2021,Post-Merger,2017-04-01,4.64,1.43,43.38,0.51,45.38,14.38,625.74,847.19
87,BR-2828,State Bank of India (Consolidated),Kolkata,Semi-Urban,2018,Post-Merger,2017-04-01,6.97,3.11,41.38,0.87,48.75,13.98,650.24,911.21
88,BR-4564,State Bank of India (Consolidated),Ahmedabad,Rural,2019,Post-Merger,2017-04-01,6.0,1.78,45.23,0.57,47.44,13.35,577.18,673.77
89,BR-2913,State Bank of India (Parent),Hyderabad,Metro,2014,Pre-Merger,2017-01-04,14.35,8.97,51.93,0.56,39.49,11.42,842.5,1118.74
90,BR-2640,State Bank of India (Consolidated),Jaipur,Semi-Urban,2021,Post-Merger,2017-04-01,4.56,1.38,49.27,1.16,42.52,14.23,660.0,832.79
91,BR-6295,State Bank of Hyderabad,Lucknow,Rural,2015,Pre-Merger,2017-04-01,12.7,7.66,54.66,0.68,49.07,12.65,820.19,1156.84
92,BR-2704,State Bank of India (Consolidated),Thiruvananthapuram,Urban,2018,Post-Merger,2017-04-01,7.11,2.97,51.25,1.19,50.34,14.88,305.22,431.66
93,BR-6150,State Bank of India (Consolidated),Chandigarh,Semi-Urban,2020,Post-Merger,2017-04-01,6.34,1.59,46.62,1.33,46.7,13.16,199.42,248.86
94,BR-8009,State Bank of India (Parent),Hyderabad,Metro,2017,Pre-Merger,2017-01-04,7.83,5.07,52.74,-0.05,40.81,11.84,1272.97,1613.67
95,BR-8059,State Bank of India (Consolidated),Bhopal,Rural,2021,Post-Merger,2017-04-01,6.83,2.68,44.91,0.54,45.35,16.52,924.04,1168.99
96,BR-4356,State Bank of Bikaner and Jaipur,Kolkata,Metro,2017,Pre-Merger,2017-04-01,7.43,4.32,56.48,0.05,36.92,12.98,196.98,266.74
97,BR-4778,Bharatiya Mahila Bank,Lucknow,Urban,2014,Pre-Merger,2017-01-04,3.89,2.17,51.95,0.92,44.44,12.59,1095.19,1444.36
98,BR-2607,State Bank of India (Parent),Hyderabad,Rural,2017,Pre-Merger,2017-04-01,8.88,5.83,57.68,0.78,42.84,12.87,969.23,1152.78
99,BR-5473,State Bank of India (Parent),Jaipur,Urban,2016,Pre-Merger,2017-04-01,15.04,8.19,61.25,-0.54,42.27,12.69,542.81,720.35
100,BR-4788,State Bank of India (Parent),Kolkata,Rural,2014,Pre-Merger,2017-01-04,6.61,3.39,52.46,-1.1,34.66,13.04,1066.87,1502.19
101,BR-1778,State Bank of India (Consolidated),Delhi NCR,Urban,2019,Post-Merger,2017-04-01,4.72,1.28,48.86,0.67,45.67,12.33,571.34,790.02
102,BR-1001,State Bank of India (Parent),Ahmedabad,Semi-Urban,2014,Pre-Merger,2017-04-01,9.51,5.36,49.99,0.18,48.19,12.9,1216.83,1472.42
103,BR-2895,State Bank of India (Parent),Bhopal,Rural,2016,Pre-Merger,2017-01-04,10.47,6.4,58.46,-0.57,44.44,13.59,949.41,1229.79
104,BR-1899,State Bank of India (Consolidated),Ahmedabad,Semi-Urban,2019,Post-Merger,2017-04-01,6.96,2.88,55.09,0.54,51.58,14.34,195.91,228.84
105,BR-2560,State Bank of India (Consolidated),Bengaluru,Metro,2018,Post-Merger,2017-04-01,2.94,1.01,51.21,0.98,46.81,13.42,309.58,357.95
106,BR-9503,State Bank of Bikaner and Jaipur,Hyderabad,Semi-Urban,2014,Pre-Merger,2017-04-01,9.54,4.91,48.34,0.07,35.62,11.79,1273.44,1531.0
107,BR-1956,State Bank of India (Consolidated),Delhi NCR,Semi-Urban,2021,Post-Merger,2017-04-01,2.36,0.76,43.77,0.86,49.16,16.12,771.07,1088.77
108,BR-2394,State Bank of Travancore,Ahmedabad,Semi-Urban,2015,Pre-Merger,2017-04-01,8.33,4.48,61.14,1.18,38.5,12.64,1096.47,1559.96
109,BR-1525,State Bank of India (Consolidated),Ahmedabad,Metro,2019,Post-Merger,2017-01-04,1.5,0.4,48.64,0.47,45.01,16.03,902.77,1217.64
110,BR-9219,State Bank of Patiala,Kolkata,Metro,2015,Pre-Merger,2017-01-04,4.53,5.77,54.925,1.2,35.37,11.59,413.24,584.78
111,BR-6724,State Bank of Mysore,Jaipur,Rural,2015,Pre-Merger,2017-04-01,9.28,5.62,49.35,-0.43,34.95,10.4,837.59,1159.67
112,BR-3203,State Bank of India (Consolidated),Mumbai Metro,Metro,2020,Post-Merger,2017-04-01,8.19,3.47,46.22,0.71,45.25,14.06,834.26,1193.81
113,BR-5293,State Bank of India (Consolidated),Chennai,Metro,2018,Post-Merger,2017-04-01,5.54,1.95,48.9,1.1,46.71,15.3,774.16,1045.16
114,BR-6757,State Bank of India (Consolidated),Kolkata,Rural,2018,Post-Merger,2017-04-01,1.5,0.42,47.44,0.82,44.12,13.59,1117.78,1337.81
115,BR-2198,State Bank of Mysore,Chennai,Semi-Urban,2015,Pre-Merger,2017-04-01,9.63,4.85,55.38,0.75,38.93,12.61,240.62,334.14
116,BR-4124,State Bank of India (Consolidated),Chandigarh,Metro,2021,Post-Merger,2017-04-01,6.86,2.61,48.35,0.52,45.28,14.49,1316.47,1822.94
117,BR-4173,State Bank of India (Consolidated),Hyderabad,Urban,2019,Post-Merger,2017-04-01,5.69,2.45,50.12,0.65,48.14,13.72,501.55,674.45
118,BR-5806,State Bank of India (Consolidated),Bengaluru,Metro,2020,Post-Merger,2017-04-01,7.7,3.0,43.43,0.1,43.26,12.51,402.72,471.97
119,BR-8117,State Bank of Patiala,Delhi NCR,Semi-Urban,2015,Pre-Merger,2017-04-01,19.85,13.33,54.65,0.4,36.27,12.04,640.0,841.49
120,BR-7570,State Bank of India (Consolidated),Bengaluru,Metro,2018,Post-Merger,2017-04-01,2.79,1.16,50.68,0.72,41.35,15.94,359.96,465.7
121,BR-7012,State Bank of India (Parent),Chandigarh,Urban,2017,Pre-Merger,2017-01-04,6.64,4.28,49.53,-0.8,42.59,13.87,467.13,595.15
122,BR-2286,State Bank of India (Consolidated),Chennai,Urban,2020,Post-Merger,2017-04-01,7.37,3.11,45.15,0.96,48.82,13.31,343.02,488.92
123,BR-2798,State Bank of India (Consolidated),Thiruvananthapuram,Metro,2019,Post-Merger,2017-04-01,4.8,1.81,47.44,0.82,47.4,14.16,403.87,490.14
124,BR-6752,State Bank of India (Consolidated),Ahmedabad,Semi-Urban,2018,Post-Merger,2017-04-01,5.98,2.58,48.4,1.31,42.5,12.83,1119.38,1573.12
125,BR-1145,State Bank of Hyderabad,Lucknow,Metro,2016,Pre-Merger,2017-01-04,16.91,8.97,48.93,0.73,42.66,12.0,113.57,152.48
126,BR-9841,State Bank of India (Parent),Ahmedabad,Semi-Urban,2014,Pre-Merger,2017-04-01,9.38,5.7,55.91,0.35,42.66,11.35,654.13,836.28
127,BR-7602,State Bank of India (Consolidated),Chandigarh,Urban,2020,Post-Merger,2017-04-01,7.88,2.92,45.22,1.02,44.54,13.2,996.31,1323.82
128,BR-6189,State Bank of Hyderabad,Bengaluru,Urban,2014,Pre-Merger,2017-04-01,12.58,7.29,56.72,0.93,41.78,11.54,465.03,617.49
129,BR-3428,State Bank of India (Parent),Chandigarh,Metro,2015,Pre-Merger,2017-04-01,12.02,7.59,63.26,-0.07,40.78,12.81,328.93,446.36
130,BR-3665,State Bank of India (Consolidated),Kolkata,Metro,2019,Post-Merger,2017-04-01,6.04,2.02,38.32,0.61,42.86,15.05,1033.61,1217.47
131,BR-5895,State Bank of Hyderabad,Mumbai Metro,Urban,2014,Pre-Merger,2017-04-01,5.84,2.99,54.61,0.18,39.37,10.93,571.78,698.55
132,BR-6299,State Bank of India (Consolidated),Thiruvananthapuram,Urban,2019,Post-Merger,2017-04-01,2.98,1.01,48.68,1.6,45.48,15.11,1488.86,2092.48
133,BR-1560,State Bank of Hyderabad,Bhopal,Semi-Urban,2015,Pre-Merger,2017-04-01,14.52,8.65,59.38,-0.07,42.74,12.84,537.99,622.38
134,BR-8373,State Bank of Hyderabad,Chennai,Urban,2017,Pre-Merger,2017-04-01,8.13,5.43,51.25,1.2,44.65,10.44,277.66,394.13
135,BR-2960,State Bank of India (Consolidated),Delhi NCR,Urban,2019,Post-Merger,2017-01-04,5.19,1.37,43.43,0.8,47.35,14.02,522.78,680.58
136,BR-3494,State Bank of India (Consolidated),Chandigarh,Metro,2019,Post-Merger,2017-04-01,6.82,1.71,47.39,0.7,40.91,12.22,881.51,1064.45
137,BR-4850,State Bank of India (Parent),Mumbai Metro,Metro,2015,Pre-Merger,2017-04-01,8.0,4.17,52.65,-0.02,39.79,11.77,803.38,1164.1
138,BR-2403,State Bank of India (Parent),Bhopal,Urban,2017,Pre-Merger,2017-04-01,10.35,6.39,56.62,0.79,39.27,13.66,1008.79,1267.31
139,BR-2549,State Bank of India (Consolidated),Hyderabad,Rural,2020,Post-Merger,2017-04-01,7.57,1.91,50.1,0.58,36.43,13.44,840.14,1020.4
140,BR-8380,State Bank of India (Consolidated),Ahmedabad,Metro,2018,Post-Merger,2017-01-04,6.64,2.73,47.14,0.98,45.92,12.93,725.22,1017.71
141,BR-6827,State Bank of India (Parent),Chandigarh,Rural,2015,Pre-Merger,2017-04-01,9.25,5.25,62.2,-0.17,31.89,12.51,1436.58,1991.2
142,BR-1571,State Bank of India (Consolidated),Mumbai Metro,Metro,2021,Post-Merger,2017-01-04,6.29,1.89,46.86,1.1,50.44,15.56,1351.07,1811.79
143,BR-8340,State Bank of India (Parent),Chennai,Semi-Urban,2016,Pre-Merger,2017-04-01,9.7,4.94,55.67,1.01,43.3,9.52,735.96,1065.28
144,BR-6510,State Bank of India (Parent),Lucknow,Rural,2016,Pre-Merger,2017-04-01,10.39,5.52,55.77,-0.07,37.87,13.17,109.74,128.91
145,BR-4839,State Bank of India (Consolidated),Delhi NCR,Urban,2021,Post-Merger,2017-01-04,3.2,0.93,52.91,0.88,42.26,14.87,833.03,968.47
146,BR-4747,State Bank of Bikaner and Jaipur,Mumbai Metro,Rural,2017,Pre-Merger,2017-04-01,13.72,7.14,58.24,0.33,50.45,12.66,302.43,351.76
147,BR-6784,State Bank of India (Consolidated),Ahmedabad,Rural,2021,Post-Merger,2017-04-01,2.6,0.97,39.8,0.7,44.53,14.47,485.99,677.85
148,BR-5875,State Bank of Hyderabad,Delhi NCR,Metro,2014,Pre-Merger,2017-04-01,12.41,7.63,56.18,1.2,45.5,11.32,462.45,606.67
149,BR-5558,State Bank of Patiala,Ahmedabad,Semi-Urban,2017,Pre-Merger,2017-04-01,9.9,6.45,47.79,0.54,47.81,12.46,502.52,663.08
150,BR-8295,State Bank of India (Consolidated),Thiruvananthapuram,Semi-Urban,2018,Post-Merger,2017-01-04,10.84,1.99,47.26,0.77,48.4,12.99,1488.37,1755.91
151,BR-3520,State Bank of Patiala,Chandigarh,Rural,2015,Pre-Merger,2017-04-01,11.19,6.98,59.84,0.76,32.15,13.52,1272.75,1781.6
152,BR-8544,State Bank of India (Parent),Hyderabad,Semi-Urban,2017,Pre-Merger,2017-04-01,10.07,5.3,57.75,0.13,47.91,11.76,1338.4,1777.28
153,BR-3023,State Bank of India (Consolidated),Chennai,Metro,2020,Post-Merger,2017-01-04,8.12,2.18,45.02,0.59,54.45,13.42,903.58,1191.32
154,BR-1161,State Bank of India (Consolidated),Thiruvananthapuram,Semi-Urban,2019,Post-Merger,2017-04-01,6.25,2.57,50.16,0.59,42.64,14.1,163.14,203.97
155,BR-1867,State Bank of India (Consolidated),Chandigarh,Rural,2021,Post-Merger,2017-04-01,1.52,0.42,48.6,0.47,48.24,13.4,1217.94,1680.73
156,BR-2283,State Bank of Patiala,Thiruvananthapuram,Urban,2017,Pre-Merger,2017-04-01,9.25,4.82,59.66,0.17,45.79,10.07,914.63,1102.44
157,BR-6068,State Bank of India (Parent),Hyderabad,Urban,2016,Pre-Merger,2017-01-04,8.11,4.81,57.97,0.54,40.41,11.69,1319.28,1850.4
158,BR-9895,State Bank of India (Consolidated),Hyderabad,Metro,2018,Post-Merger,2017-01-04,2.87,1.12,45.35,0.83,44.54,12.9,1390.12,1795.5
159,BR-5713,State Bank of India (Consolidated),Bhopal,Metro,2019,Post-Merger,2017-04-01,7.58,3.37,44.57,0.41,38.72,13.52,302.06,424.67
160,BR-3297,State Bank of India (Parent),Thiruvananthapuram,Rural,2016,Pre-Merger,2017-04-01,12.09,7.2,46.57,-0.27,41.99,12.3,875.44,1252.8
161,BR-4959,State Bank of India (Consolidated),Lucknow,Urban,2021,Post-Merger,2017-04-01,5.7,2.54,56.15,0.94,43.04,13.43,518.35,743.37
162,BR-9616,State Bank of India (Parent),Thiruvananthapuram,Urban,2014,Pre-Merger,2017-04-01,6.4,3.46,57.35,0.08,45.07,14.5,242.97,342.11
163,BR-7566,State Bank of India (Consolidated),Bengaluru,Semi-Urban,2019,Post-Merger,2017-01-04,10.03,2.96,50.77,0.7,49.53,14.59,386.85,456.2
164,BR-9535,State Bank of India (Consolidated),Chennai,Urban,2020,Post-Merger,2017-04-01,4.22,1.49,46.5,1.26,43.24,13.14,313.88,392.06
165,BR-7519,State Bank of India (Consolidated),Chandigarh,Urban,2021,Post-Merger,2017-04-01,5.22,1.77,49.14,1.09,45.23,13.88,229.77,309.51
