record_id,branch_code,entity_name,circle_zone,branch_tier,fiscal_year,period_type,merger_cutoff_date,gross_npa_pct,net_npa_pct,cost_to_income_pct,roa_pct,casa_ratio_pct,car_crar_pct,advances_inr_cr,deposits_inr_cr
32,BR-8164,State Bank of Hyderabad,Ahmedabad,Rural,2014,Pre-Merger,01/04/2017,9.67%,5.57%,62.92%,1.20%,38.54%,12.62%,435.02,576.04
33,BR-4440,State Bank of India (Consolidated)   ,Lucknow,Rural,2020,Post-Merger,01/04/2017,7.47%,2.02%,,0.78%,48.76%,13.47%,"1,351.64","1,712.20"
34,BR-9082,State Bank of India (Parent)   ,Chennai,Semi-Urban,2017,Pre-Merger,01/04/2017,12.84%,8.63%,,1.20%,37.59%,12.18%,210.22,279.75
35,BR-8651,State Bank of India (Consolidated),Delhi NCR,Rural,2018,Post-Merger,2017-04-01,7.09%,1.90%,49.59%,0.54%,45.47%,11.59%,"1,340.54","1,682.75"
36,BR-8241,State Bank of Hyderabad,Mumbai Metro,Rural,2015,Pre-Merger,2017-04-01,15.47%,8.01%,55.60%,0.05%,39.12%,12.46%,200.47,289.88
37,BR-9702,State Bank of India (Consolidated),Lucknow,Semi-Urban,2020,Post-Merger,2017-04-01,4.53%,1.84%,46.39%,0.10%,51.00%,13.74%,745.50,869.92
38,BR-4072,State Bank of Hyderabad,Hyderabad,Metro,2016,Pre-Merger,2017-04-01,9.79%,6.59%,47.99%,-0.16%,39.63%,12.70%,"1,447.78","1,670.23"
39,BR-6348,State Bank of Hyderabad,Lucknow,Rural,2017,Pre-Merger,2017-04-01,9.88%,6.06%,56.74%,0.09%,48.44%,13.52%,"1,359.64","1,582.12"
40,BR-6063,State Bank of India (Consolidated),Lucknow,Urban,2019,Post-Merger,2017-04-01,9.35%,3.19%,41.68%,1.05%,44.95%,12.47%,581.76,770.89
41,BR-5835,State Bank of India (Consolidated),Bengaluru,Semi-Urban,2021,Post-Merger,2017-04-01,4.96%,1.52%,47.01%,1.38%,40.28%,13.32%,188.20,269.53
42,BR-2838,State Bank of Bikaner and Jaipur,Bhopal,Semi-Urban,2014,Pre-Merger,2017-04-01,8.51%,5.68%,54.17%,0.18%,42.18%,10.99%,620.87,894.66
43,BR-5000,State Bank of India (Parent),Hyderabad,Urban,2015,Pre-Merger,2017-04-01,10.50%,6.26%,52.32%,0.54%,41.77%,13.96%,"1,155.06","1,459.25"
44,BR-6997,State Bank of Travancore,Delhi NCR,Urban,2014,Pre-Merger,01/04/2017,11.72%,7.14%,57.70%,-0.32%,34.86%,13.61%,241.25,326.04
45,BR-1770,State Bank of India (Parent),Bhopal,Metro,2016,Pre-Merger,01/04/2017,8.00%,4.60%,65.93%,0.71%,45.85%,12.42%,943.48,"1,265.20"
46,BR-2331,State Bank of Bikaner and Jaipur,Hyderabad,Urban,2014,Pre-Merger,01/04/2017,9.96%,6.38%,61.83%,-0.48%,34.19%,12.14%,731.97,"1,056.97"
47,BR-7269,State Bank of Hyderabad,Bengaluru,Urban,2016,Pre-Merger,2017-04-01,11.35%,6.62%,45.22%,-0.71%,47.00%,11.20%,"1,069.03","1,361.41"
48,BR-1671,State Bank of Hyderabad,Lucknow,Metro,2015,Pre-Merger,2017-04-01,11.60%,6.26%,52.24%,0.98%,40.06%,12.12%,859.18,"1,125.81"
49,BR-3593,State Bank of Bikaner and Jaipur,Chennai,Metro,2014,Pre-Merger,01/04/2017,9.47%,6.10%,54.69%,-0.07%,41.86%,12.08%,"1,224.81","1,683.47"
50,BR-1638,State Bank of India (Consolidated),Ahmedabad,Semi-Urban,2021,Post-Merger,2017-04-01,5.48%,1.90%,41.44%,1.26%,51.26%,13.80%,132.09,161.91
51,BR-1918,State Bank of India (Consolidated),Lucknow,Metro,2019,Post-Merger,2017-04-01,5.22%,1.72%,50.63%,0.88%,43.79%,14.41%,"1,273.81","1,498.97"
52,BR-4596,State Bank of Bikaner and Jaipur   ,Lucknow,Metro,2017,Pre-Merger,01/04/2017,5.67%,3.20%,53.16%,1.20%,47.25%,12.81%,871.99,"1,156.22"
53,BR-3472,State Bank of India (Consolidated)   ,Jaipur,Rural,2018,Post-Merger,01/04/2017,8.55%,3.11%,42.22%,0.29%,47.47%,13.32%,344.93,426.17
54,BR-9434,State Bank of India (Consolidated),Bengaluru,Rural,2020,Post-Merger,2017-04-01,4.97%,1.65%,48.68%,0.75%,46.33%,14.43%,446.22,536.03
55,BR-5289,State Bank of India (Consolidated),Kolkata,Semi-Urban,2020,Post-Merger,2017-04-01,2.58%,1.08%,57.14%,0.46%,47.74%,14.36%,"1,084.27","1,496.65"
56,BR-5234,State Bank of India (Consolidated),Jaipur,Rural,2020,Post-Merger,2017-04-01,9.15%,3.17%,44.72%,0.80%,42.49%,13.64%,169.99,245.97
57,BR-9512,State Bank of India (Consolidated),Hyderabad,Semi-Urban,2020,Post-Merger,01/04/2017,8.00%,2.95%,50.13%,0.10%,42.71%,14.79%,"1,259.48","1,813.03"
58,BR-6256,State Bank of India (Parent),Bengaluru,Metro,2015,Pre-Merger,2017-04-01,9.15%,4.68%,56.70%,1.20%,40.52%,12.33%,"1,209.28","1,463.82"
59,BR-3898,State Bank of Hyderabad,Mumbai Metro,Metro,2016,Pre-Merger,01/04/2017,8.92%,5.41%,57.24%,0.05%,48.63%,12.81%,966.22,"1,267.62"
60,BR-2248,State Bank of India (Consolidated),Jaipur,Semi-Urban,2020,Post-Merger,01/04/2017,6.46%,2.11%,50.59%,0.81%,42.40%,14.44%,"1,414.56","1,893.12"
61,BR-8667,State Bank of India (Consolidated),Hyderabad,Rural,2020,Post-Merger,2017-04-01,5.88%,2.34%,51.21%,1.07%,49.03%,13.50%,370.45,505.38
62,BR-7028,State Bank of India (Consolidated),Delhi NCR,Metro,2020,Post-Merger,01/04/2017,6.64%,2.16%,55.78%,0.45%,56.00%,14.32%,770.63,980.77
63,BR-3674,State Bank of Hyderabad,Thiruvananthapuram,Semi-Urban,2016,Pre-Merger,2017-04-01,12.10%,7.85%,61.55%,0.28%,42.31%,11.75%,488.86,652.38
64,BR-1984,State Bank of India (Parent),Lucknow,Urban,2014,Pre-Merger,01/04/2017,5.15%,3.39%,54.99%,0.79%,42.92%,12.45%,"1,084.28","1,296.54"
65,BR-7024,State Bank of India (Consolidated),Chandigarh,Semi-Urban,2019,Post-Merger,2017-04-01,5.27%,1.49%,45.41%,0.93%,44.14%,12.62%,402.90,536.81
66,BR-9393,State Bank of Patiala,Bhopal,Urban,2017,Pre-Merger,2017-04-01,6.28%,3.82%,53.55%,-0.22%,34.78%,9.50%,"1,384.21","1,835.63"
67,BR-2205,State Bank of India (Consolidated),Mumbai Metro,Rural,2021,Post-Merger,2017-04-01,3.63%,0.93%,48.25%,1.14%,43.06%,13.01%,382.01,498.35
68,BR-1688,State Bank of Bikaner and Jaipur,Bengaluru,Urban,2017,Pre-Merger,01/04/2017,7.49%,3.86%,54.50%,0.44%,38.29%,12.36%,"1,144.94","1,388.78"
69,BR-3717,State Bank of India (Consolidated),Kolkata,Semi-Urban,2018,Post-Merger,2017-04-01,3.18%,1.33%,52.77%,0.20%,47.95%,14.38%,838.93,"1,085.85"
70,BR-7016,State Bank of India (Consolidated),Lucknow,Rural,2021,Post-Merger,01/04/2017,9.35%,3.95%,46.63%,0.96%,48.42%,12.51%,660.40,764.49
71,BR-4462,State Bank of India (Consolidated)   ,Lucknow,Metro,2018,Post-Merger,01/04/2017,8.22%,,,0.79%,40.56%,12.05%,888.61,"1,258.48"
72,BR-8970,State Bank of India (Consolidated),Thiruvananthapuram,Metro,2021,Post-Merger,2017-04-01,7.82%,3.50%,51.95%,0.93%,44.53%,12.83%,540.07,635.16
73,BR-3198,State Bank of India (Consolidated),Hyderabad,Urban,2018,Post-Merger,2017-04-01,2.73%,1.17%,53.91%,0.60%,49.17%,13.25%,918.22,"1,129.80"
74,BR-2279,State Bank of India (Consolidated)   ,Mumbai Metro,Urban,2019,Post-Merger,01/04/2017,3.22%,1.04%,45.81%,0.95%,46.08%,12.93%,"1,479.22","1,910.15"
75,BR-3573,State Bank of Hyderabad,Thiruvananthapuram,Semi-Urban,2014,Pre-Merger,2017-04-01,5.49%,2.88%,57.84%,-0.42%,41.40%,10.41%,866.93,"1,166.39"
76,BR-9041,State Bank of India (Consolidated),Lucknow,Semi-Urban,2019,Post-Merger,2017-04-01,6.95%,1.93%,53.36%,1.33%,41.99%,14.71%,"1,378.46","1,758.41"
77,BR-4629,State Bank of India (Consolidated),Kolkata,Urban,2021,Post-Merger,01/04/2017,6.61%,1.90%,46.75%,0.83%,44.72%,15.09%,"1,104.58","1,472.54"
78,BR-7766,State Bank of India (Consolidated),Delhi NCR,Semi-Urban,2021,Post-Merger,2017-04-01,5.66%,2.48%,43.94%,1.03%,43.49%,14.25%,784.84,"1,043.09"
79,BR-8617,State Bank of India (Consolidated),Bengaluru,Urban,2018,Post-Merger,2017-04-01,3.49%,1.16%,42.15%,1.05%,51.10%,13.14%,190.43,219.13
80,BR-8009,State Bank of India (Parent),Hyderabad,Semi-Urban,2017,Pre-Merger,2017-04-01,9.56%,4.94%,54.17%,0.72%,41.71%,10.73%,"1,319.58","1,807.39"
81,BR-6604,State Bank of India (Consolidated),Mumbai Metro,Metro,2019,Post-Merger,01/04/2017,5.98%,2.57%,47.24%,1.25%,49.10%,14.27%,142.71,189.30
82,BR-8124,State Bank of India (Consolidated),Thiruvananthapuram,Semi-Urban,2019,Post-Merger,2017-04-01,5.17%,2.24%,48.90%,0.71%,49.45%,14.00%,"1,279.26","1,593.61"
83,BR-8693,State Bank of India (Consolidated),Chennai,Semi-Urban,2020,Post-Merger,2017-04-01,7.61%,2.64%,39.55%,0.81%,49.05%,11.60%,892.85,"1,242.13"
84,BR-1920,State Bank of India (Consolidated),Ahmedabad,Metro,2018,Post-Merger,2017-04-01,3.46%,1.30%,48.21%,1.09%,45.79%,15.38%,"1,413.48","1,964.22"
85,BR-3032,State Bank of India (Consolidated),Mumbai Metro,Metro,2018,Post-Merger,2017-04-01,5.85%,2.14%,45.09%,0.54%,40.18%,13.78%,821.98,"1,125.85"
86,BR-2165,State Bank of India (Consolidated),Lucknow,Rural,2021,Post-Merger,2017-04-01,4.64%,1.43%,43.38%,0.51%,45.38%,14.38%,625.74,847.19
87,BR-2828,State Bank of India (Consolidated),Kolkata,Semi-Urban,2018,Post-Merger,2017-04-01,6.97%,3.11%,41.38%,0.87%,48.75%,13.98%,650.24,911.21
88,BR-4564,State Bank of India (Consolidated),Ahmedabad,Rural,2019,Post-Merger,2017-04-01,6.00%,1.78%,45.23%,0.57%,47.44%,13.35%,577.18,673.77
89,BR-2913,State Bank of India (Parent),Hyderabad,Metro,2014,Pre-Merger,01/04/2017,14.35%,8.97%,51.93%,0.56%,39.49%,11.42%,842.50,"1,118.74"
90,BR-2640,State Bank of India (Consolidated),Jaipur,Semi-Urban,2021,Post-Merger,2017-04-01,4.56%,1.38%,49.27%,1.16%,42.52%,14.23%,660.00,832.79
91,BR-6295,State Bank of Hyderabad,Lucknow,Rural,2015,Pre-Merger,2017-04-01,12.70%,7.66%,54.66%,0.68%,49.07%,12.65%,820.19,"1,156.84"
92,BR-2704,State Bank of India (Consolidated),Thiruvananthapuram,Urban,2018,Post-Merger,2017-04-01,7.11%,2.97%,51.25%,1.19%,50.34%,14.88%,305.22,431.66
93,BR-6150,State Bank of India (Consolidated),Chandigarh,Semi-Urban,2020,Post-Merger,2017-04-01,6.34%,1.59%,46.62%,1.33%,46.70%,13.16%,199.42,248.86
94,BR-8009,State Bank of India (Parent)   ,Hyderabad,Metro,2017,Pre-Merger,01/04/2017,7.83%,5.07%,52.74%,-0.05%,40.81%,11.84%,"1,272.97","1,613.67"
95,BR-8059,State Bank of India (Consolidated),Bhopal,Rural,2021,Post-Merger,2017-04-01,6.83%,2.68%,44.91%,0.54%,45.35%,16.52%,924.04,"1,168.99"
96,BR-4356,State Bank of Bikaner and Jaipur,Kolkata,Metro,2017,Pre-Merger,2017-04-01,7.43%,4.32%,56.48%,0.05%,36.92%,12.98%,196.98,266.74
97,BR-4778,Bharatiya Mahila Bank,Lucknow,Urban,2014,Pre-Merger,01/04/2017,3.89%,2.17%,51.95%,0.92%,44.44%,12.59%,"1,095.19","1,444.36"
98,BR-2607,State Bank of India (Parent),Hyderabad,Rural,2017,Pre-Merger,2017-04-01,8.88%,5.83%,57.68%,0.78%,42.84%,12.87%,969.23,"1,152.78"
99,BR-5473,State Bank of India (Parent),Jaipur,Urban,2016,Pre-Merger,2017-04-01,15.04%,8.19%,61.25%,-0.54%,42.27%,12.69%,542.81,720.35
100,BR-4788,State Bank of India (Parent)   ,Kolkata,Rural,2014,Pre-Merger,01/04/2017,6.61%,3.39%,52.46%,-1.10%,34.66%,13.04%,"1,066.87","1,502.19"
101,BR-1778,State Bank of India (Consolidated),Delhi NCR,Urban,2019,Post-Merger,2017-04-01,4.72%,1.28%,48.86%,0.67%,45.67%,12.33%,571.34,790.02
102,BR-1001,State Bank of India (Parent),Ahmedabad,Semi-Urban,2014,Pre-Merger,2017-04-01,9.51%,5.36%,49.99%,0.18%,48.19%,12.90%,"1,216.83","1,472.42"
103,BR-2895,State Bank of India (Parent),Bhopal,Rural,2016,Pre-Merger,01/04/2017,10.47%,6.40%,58.46%,-0.57%,44.44%,13.59%,949.41,"1,229.79"
104,BR-1899,State Bank of India (Consolidated),Ahmedabad,Semi-Urban,2019,Post-Merger,2017-04-01,6.96%,2.88%,55.09%,0.54%,51.58%,14.34%,195.91,228.84
105,BR-2560,State Bank of India (Consolidated),Bengaluru,Metro,2018,Post-Merger,2017-04-01,2.94%,1.01%,51.21%,0.98%,46.81%,13.42%,309.58,357.95
106,BR-9503,State Bank of Bikaner and Jaipur,Hyderabad,Semi-Urban,2014,Pre-Merger,2017-04-01,9.54%,4.91%,48.34%,0.07%,35.62%,11.79%,"1,273.44","1,531.00"
107,BR-1956,State Bank of India (Consolidated),Delhi NCR,Semi-Urban,2021,Post-Merger,2017-04-01,2.36%,0.76%,43.77%,0.86%,49.16%,16.12%,771.07,"1,088.77"
108,BR-2394,State Bank of Travancore,Ahmedabad,Semi-Urban,2015,Pre-Merger,2017-04-01,8.33%,4.48%,61.14%,1.18%,38.50%,12.64%,"1,096.47","1,559.96"
109,BR-1525,State Bank of India (Consolidated),Ahmedabad,Metro,2019,Post-Merger,01/04/2017,1.50%,0.40%,48.64%,0.47%,45.01%,16.03%,902.77,"1,217.64"
110,BR-9219,State Bank of Patiala   ,Kolkata,Metro,2015,Pre-Merger,01/04/2017,4.53%,,,1.20%,35.37%,11.59%,413.24,584.78
111,BR-6724,State Bank of Mysore,Jaipur,Rural,2015,Pre-Merger,2017-04-01,9.28%,5.62%,49.35%,-0.43%,34.95%,10.40%,837.59,"1,159.67"
112,BR-3203,State Bank of India (Consolidated),Mumbai Metro,Metro,2020,Post-Merger,2017-04-01,8.19%,3.47%,46.22%,0.71%,45.25%,14.06%,834.26,"1,193.81"
113,BR-5293,State Bank of India (Consolidated),Chennai,Metro,2018,Post-Merger,2017-04-01,5.54%,1.95%,48.90%,1.10%,46.71%,15.30%,774.16,"1,045.16"
114,BR-6757,State Bank of India (Consolidated),Kolkata,Rural,2018,Post-Merger,2017-04-01,1.50%,0.42%,47.44%,0.82%,44.12%,13.59%,"1,117.78","1,337.81"
115,BR-2198,State Bank of Mysore,Chennai,Semi-Urban,2015,Pre-Merger,2017-04-01,9.63%,4.85%,55.38%,0.75%,38.93%,12.61%,240.62,334.14
116,BR-4124,State Bank of India (Consolidated),Chandigarh,Metro,2021,Post-Merger,2017-04-01,6.86%,2.61%,48.35%,0.52%,45.28%,14.49%,"1,316.47","1,822.94"
117,BR-4173,State Bank of India (Consolidated),Hyderabad,Urban,2019,Post-Merger,2017-04-01,5.69%,2.45%,50.12%,0.65%,48.14%,13.72%,501.55,674.45
118,BR-5806,State Bank of India (Consolidated),Bengaluru,Metro,2020,Post-Merger,2017-04-01,7.70%,3.00%,43.43%,0.10%,43.26%,12.51%,402.72,471.97
119,BR-8117,State Bank of Patiala,Delhi NCR,Semi-Urban,2015,Pre-Merger,2017-04-01,19.85%,13.33%,54.65%,0.40%,36.27%,12.04%,640.00,841.49
120,BR-7570,State Bank of India (Consolidated),Bengaluru,Metro,2018,Post-Merger,2017-04-01,2.79%,1.16%,50.68%,0.72%,41.35%,15.94%,359.96,465.70
121,BR-7012,State Bank of India (Parent)   ,Chandigarh,Urban,2017,Pre-Merger,01/04/2017,6.64%,4.28%,49.53%,-0.80%,42.59%,13.87%,467.13,595.15
122,BR-2286,State Bank of India (Consolidated),Chennai,Urban,2020,Post-Merger,2017-04-01,7.37%,3.11%,45.15%,0.96%,48.82%,13.31%,343.02,488.92
123,BR-2798,State Bank of India (Consolidated),Thiruvananthapuram,Metro,2019,Post-Merger,2017-04-01,4.80%,1.81%,47.44%,0.82%,47.40%,14.16%,403.87,490.14
124,BR-6752,State Bank of India (Consolidated),Ahmedabad,Semi-Urban,2018,Post-Merger,2017-04-01,5.98%,2.58%,48.40%,1.31%,42.50%,12.83%,"1,119.38","1,573.12"
125,BR-1145,State Bank of Hyderabad,Lucknow,Metro,2016,Pre-Merger,01/04/2017,16.91%,8.97%,48.93%,0.73%,42.66%,12.00%,113.57,152.48
126,BR-9841,State Bank of India (Parent),Ahmedabad,Semi-Urban,2014,Pre-Merger,2017-04-01,9.38%,5.70%,55.91%,0.35%,42.66%,11.35%,654.13,836.28
127,BR-7602,State Bank of India (Consolidated),Chandigarh,Urban,2020,Post-Merger,2017-04-01,7.88%,2.92%,45.22%,1.02%,44.54%,13.20%,996.31,"1,323.82"
128,BR-6189,State Bank of Hyderabad,Bengaluru,Urban,2014,Pre-Merger,2017-04-01,12.58%,7.29%,56.72%,0.93%,41.78%,11.54%,465.03,617.49
129,BR-3428,State Bank of India (Parent),Chandigarh,Metro,2015,Pre-Merger,2017-04-01,12.02%,7.59%,63.26%,-0.07%,40.78%,12.81%,328.93,446.36
130,BR-3665,State Bank of India (Consolidated),Kolkata,Metro,2019,Post-Merger,2017-04-01,6.04%,2.02%,38.32%,0.61%,42.86%,15.05%,"1,033.61","1,217.47"
131,BR-5895,State Bank of Hyderabad,Mumbai Metro,Urban,2014,Pre-Merger,2017-04-01,5.84%,2.99%,54.61%,0.18%,39.37%,10.93%,571.78,698.55
132,BR-6299,State Bank of India (Consolidated),Thiruvananthapuram,Urban,2019,Post-Merger,2017-04-01,2.98%,1.01%,48.68%,1.60%,45.48%,15.11%,"1,488.86","2,092.48"
133,BR-1560,State Bank of Hyderabad,Bhopal,Semi-Urban,2015,Pre-Merger,2017-04-01,14.52%,8.65%,59.38%,-0.07%,42.74%,12.84%,537.99,622.38
134,BR-8373,State Bank of Hyderabad,Chennai,Urban,2017,Pre-Merger,2017-04-01,8.13%,5.43%,51.25%,1.20%,44.65%,10.44%,277.66,394.13
135,BR-2960,State Bank of India (Consolidated),Delhi NCR,Urban,2019,Post-Merger,01/04/2017,5.19%,1.37%,43.43%,0.80%,47.35%,14.02%,522.78,680.58
136,BR-3494,State Bank of India (Consolidated),Chandigarh,Metro,2019,Post-Merger,2017-04-01,6.82%,1.71%,47.39%,0.70%,40.91%,12.22%,881.51,"1,064.45"
137,BR-4850,State Bank of India (Parent),Mumbai Metro,Metro,2015,Pre-Merger,2017-04-01,8.00%,4.17%,52.65%,-0.02%,39.79%,11.77%,803.38,"1,164.10"
138,BR-2403,State Bank of India (Parent),Bhopal,Urban,2017,Pre-Merger,2017-04-01,10.35%,6.39%,56.62%,0.79%,39.27%,13.66%,"1,008.79","1,267.31"
139,BR-2549,State Bank of India (Consolidated),Hyderabad,Rural,2020,Post-Merger,2017-04-01,7.57%,1.91%,50.10%,0.58%,36.43%,13.44%,840.14,"1,020.40"
140,BR-8380,State Bank of India (Consolidated),Ahmedabad,Metro,2018,Post-Merger,01/04/2017,6.64%,2.73%,47.14%,0.98%,45.92%,12.93%,725.22,"1,017.71"
141,BR-6827,State Bank of India (Parent),Chandigarh,Rural,2015,Pre-Merger,2017-04-01,9.25%,5.25%,62.20%,-0.17%,31.89%,12.51%,"1,436.58","1,991.20"
142,BR-1571,State Bank of India (Consolidated),Mumbai Metro,Metro,2021,Post-Merger,01/04/2017,6.29%,1.89%,46.86%,1.10%,50.44%,15.56%,"1,351.07","1,811.79"
143,BR-8340,State Bank of India (Parent),Chennai,Semi-Urban,2016,Pre-Merger,2017-04-01,9.70%,4.94%,55.67%,1.01%,43.30%,9.52%,735.96,"1,065.28"
144,BR-6510,State Bank of India (Parent),Lucknow,Rural,2016,Pre-Merger,2017-04-01,10.39%,5.52%,55.77%,-0.07%,37.87%,13.17%,109.74,128.91
145,BR-4839,State Bank of India (Consolidated),Delhi NCR,Urban,2021,Post-Merger,01/04/2017,3.20%,0.93%,52.91%,0.88%,42.26%,14.87%,833.03,968.47
146,BR-4747,State Bank of Bikaner and Jaipur,Mumbai Metro,Rural,2017,Pre-Merger,2017-04-01,13.72%,7.14%,58.24%,0.33%,50.45%,12.66%,302.43,351.76
147,BR-6784,State Bank of India (Consolidated),Ahmedabad,Rural,2021,Post-Merger,2017-04-01,2.60%,0.97%,39.80%,0.70%,44.53%,14.47%,485.99,677.85
148,BR-5875,State Bank of Hyderabad,Delhi NCR,Metro,2014,Pre-Merger,2017-04-01,12.41%,7.63%,56.18%,1.20%,45.50%,11.32%,462.45,606.67
149,BR-5558,State Bank of Patiala,Ahmedabad,Semi-Urban,2017,Pre-Merger,2017-04-01,9.90%,6.45%,47.79%,0.54%,47.81%,12.46%,502.52,663.08
150,BR-8295,State Bank of India (Consolidated)   ,Thiruvananthapuram,Semi-Urban,2018,Post-Merger,01/04/2017,10.84%,,,0.77%,48.40%,12.99%,"1,488.37","1,755.91"
151,BR-3520,State Bank of Patiala,Chandigarh,Rural,2015,Pre-Merger,2017-04-01,11.19%,6.98%,59.84%,0.76%,32.15%,13.52%,"1,272.75","1,781.60"
